////////////////////////////////////////////////////////////////////////////////																													
//	[ Text  Version ]	0.0.0.9																											
//	[ 최종 작업자 ]	이기수																											
//	[ 최종 작업일 ]	2010-03-02 14:00																											
//	[ 작 업 내 용 ]	소환술사 마스터 스킬 추가																											
////////////////////////////////////////////////////////////////////////////////																													
// 입력하는 인덱스는 스킬 인덱스로 수정(기존 아이콘 인덱스)																													
// 선행 스킬로 인한 화살표를 표시할 경우 기준이 되는 스킬의 위치에 숫자를 추가한다. (10000:↑& 20000 :→ & 30000:↓& 40000:←)																													
// 트리 21~24 는 소환술사용 예약.9랭크 스킬은 현재 트리 스크립트에서 제외되어있음 (추후 작업예정)																													
// 내부적으로 클래스 구별 순서가 흑마법사(0)/흑기사(1)/요정(2)/마검사(3)/다크로드(4)로 되어있다고 함.																													
// 스킬 단계별 투자 요구 포인트																													
0																													
// Rank	1 단계	2 단계	3 단계	4 단계	5 단계																								
	1	1	1	1	1																								
	1	1	1	1	2																								
	1	1	1	2	2																								
	1	1	2	2	2																								
	1	2	2	2	2																								
	1	2	2	2	3																								
	1	2	2	3	3																								
	1	2	3	3	3																								
	1	3	3	3	3																								
end																													
// 흑마법사 평온																													
1																													
	// 가로																												
	4																												
	// 1번줄	2번줄	3번줄	4번줄																									
	-1	-1	-1	310																									
	-1	335	40330	40325																									
	-1	-1	-1	350																									
	-1	-1	390	40385																									
	-1	-1	-1	0																									
	0	0	0	0																									
	-1	0	0	0																									
	-1	-1	-1	0																									
end																													
// 흑마법사 지혜																													
2																													
	// 가로																												
	2																												
	// 1번줄	2번줄	3번줄	4번줄																									
	300	-1	-1	-1																									
	440	-1	-1	-1																									
	20355	360	-1	-1																									
	445	450	-1	-1																									
	0	0	-1	-1																									
	0	0	-1	-1																									
	0	-1	-1	-1																									
	0	-1	-1	-1																									
end																													
// 흑마법사 초월																													
3																													
	// 가로																												
	2																												
	// 1번줄	2번줄	3번줄	4번줄																									
	305	-1	-1	-1																									
	435	370	-1	-1																									
	20365	375	-1	-1																									
	20410	415	-1	-1																									
	0	-1	-1	-1																									
	0	0	-1	-1																									
	0	0	-1	-1																									
