// CloseTime, OpenTime, PlayTime										
0										
35	5	20								
end										
										
// 광장번호, 몬스터타입, 리젠시작시간, 리젠끝시간										
1										
0	17	0	7			// 싸이크롭스 		(50 ~ 179)		
0	15	0	7			// 해골궁수				
0	5	5	14			// 헬하운드				
0	13	5	14			// 헬스파이더				
0	8	12	20			// 포이즌소뿔전사				
0	36	12	20			// 쉐도우				
										
1	41	0	7			// 데스카우		(180 ~ 269)		
1	37	0	7			// 데빌				
1	35	5	14			// 데스고르곤				
1	180	5	14			// 슈리커				
1	64	12	20			// 오크궁수				
1	65	12	20			// 오크대장				
										
2	294	0	7			// 액스워리어		(270 ~ 349)		
2	60	0	7			// 블러디울프				
2	71	5	14			// 메가크러스트				
2	190	5	14			// 데스엔젤				
2	61	12	20			// 빔나이트				
2	73	12	20			// 드라칸				
										
3	290	0	7			// 리자드워리어 		(350 ~ 399)		
3	57	0	7			// 아이언휠				
3	70	5	14			// 퀸레이너				
3	293	5	14			// 포이즌골렘				
3	74	12	20			// 알파크러스트				
3	292	12	20			// 퀸비				
										
4	434	0	7			//기간티스		(400 ~ 500)		
4	435	0	7			//버서커				
4	436	5	14			//발람(훈련병)				
4	437	5	14			//소람(훈련병)				
4	438	12	20			//페르소나				
4	439	12	20			//다크엘프				
										
5	449	0	7			// 블레이즈 네이핀		(501 ~ 650)		
5	575	0	7			// 콘드라				
5	576	5	14			// 나르콘드라				
5	554	5	14			// 켄타우로스워리어				
5	555	12	20			// 기간티스워리어				
5	557	12	20			// 사피퀸				
										
6	434	0	7			// 크립타		(651 ~)		
6	435	0	7			// 크립포스				
6	436	5	14			// 드레드피어				
6	437	5	14			// 버서커워리어				
6	438	12	20			// 제노사이더워리어				
6	439	12	20			// 사피퀸				
end										
										
// 한번만 나오는 보스급 몬스터 설정										
// 광장번호, 몬스터타입, 리젠시간, 리젠좌표										
2										
0	18	15	119 80   150  115		// 고르곤					
0	18	15	119 80   150  115		// 고르곤					
0	18	15	119 80   150  115		// 고르곤					
0	18	15	119 80   150  115		// 고르곤					
0	18	15	119 80   150  115		// 고르곤					
										
1	67	15	121 152 151 184		// 실버발록					
1	67	15	121 152 151 184		// 실버발록					
1	67	15	121 152 151 184		// 실버발록					
1	67	15	121 152 151 184		// 실버발록					
1	67	15	121 152 151 184		// 실버발록					
										
2	291	15	49 138 79 173		// 파이어골렘					
2	291	15	49 138 79 173		// 파이어골렘					
2	291	15	49 138 79 173		// 파이어골렘					
2	291	15	49 138 79 173		// 파이어골렘					
2	291	15	49 138 79 173		// 파이어골렘					
										
3	197	15	53 74 83 109		// 쿤둔의잔영					
3	197	15	53 74 83 109		// 쿤둔의잔영					
3	197	15	53 74 83 109		// 쿤둔의잔영					
3	197	15	53 74 83 109		// 쿤둔의잔영					
3	197	15	53 74 83 109		// 쿤둔의잔영					
										
4	340	15	120 80   150  115		// 다크엘프					
4	340	15	120 80   150  115		// 다크엘프					
4	340	15	120 80   150  115		// 다크엘프					
4	340	15	120 80   150  115		// 다크엘프					
4	340	15	120 80   150  115		// 다크엘프					
										
5	558	15	122 152 151 184		// 아이스네이핀					
5	558	15	122 152 151 184		// 아이스네이핀					
5	558	15	122 152 151 184		// 아이스네이핀					
5	558	15	122 152 151 184		// 아이스네이핀					
5	558	15	122 152 151 184		// 아이스네이핀					
										
6	440	15	50 138 79 173		// 쉐도우 마스터					
6	440	15	50 138 79 173		// 쉐도우 마스터					
6	440	15	50 138 79 173		// 쉐도우 마스터					
6	440	15	50 138 79 173		// 쉐도우 마스터					
6	440	15	50 138 79 173		// 쉐도우 마스터					
end										
										
// 순위 집계시 보너스 경험치 및 젠 설정										
// 광장번호. 등수, 보너스경험치, 보너스젠										
3										
0	0	6000	30000							
0	1	4000	25000							
0	2	2000	20000							
0	3	1000	15000							
										
1	0	8000	40000							
1	1	6000	35000							
1	2	4000	30000							
1	3	2000	25000							
										
2	0	10000	50000							
2	1	8000	45000							
2	2	6000	40000							
2	3	4000	35000							
										
3	0	20000	60000							
3	1	10000	55000							
3	2	8000	50000							
3	3	6000	45000							
										
4	0	22000	70000							
4	1	20000	65000							
4	2	10000	60000							
4	3	8000	55000							
										
5	0	24000	80000							
5	1	22000	75000							
5	2	20000	70000							
5	3	10000	65000							
										
6	0	26000	150000							
6	1	24000	140000							
6	2	22000	120000							
6	3	20000	90000							
end										
										
// 악마의 광장 시작 시간(hour / miin)										
4										
0	0
0	30
1	0
1	30
7	0
7	30
8	0
8	30
9	0
9	30
10	0
10	30
11	0
11	30
12	0
12	30
13	0
13	30
14	0
14	30
15	0
15	30
16	0
16	30
17	0
17	30
18	0
18	30
19	0
19	30
20	0
20	30
21	0
21	30
22	0
22	30
23	0
23	30									
end										
										
// 각 광장별 보상 경험치 퍼센트										
5										
0	1			// 1광장						
1	1			// 2광장						
2	1			// 3광장						
3	1			// 4광장						
4	1			// 5광장						
5	1			// 6광장						
6	1			// 7광장						
end										
										
