0

	0	0	//
	1	0	//
	2	0	//
	3	0	//
	4	0	//
	6	0	//
	7	0	//
	14	0	//
	226	0	//
	230	0	//
	240	0	//
	249	0	//
	250	0	//
	251	0	//
	253	0	//
	254	0	//
	255	0	//
	257	0	//
	375	0	//
	543	0	//
	547	0	//
	584	0	//

	5	1	//
	8	1	//
	9	1	//
	10	1	//
	11	1	//
	12	1	//
	13	1	//
	14	1	//
	15	1	//
	16	1	//
	17	1	//
	18	1	//
	100	1	//
	101	1	//
	102	1	//

	19	2	//
	20	2	//
	21	2	//
	22	2	//
	23	2	//
	24	2	//
	25	2	//
	229	2	//
	233	2	//
	235	2	//
	236	2	//
	240	2	//
	241	2	//
	244	2	//
	245	2	//
	246	2	//
	247	2	//
	257	2	//
	379	2	//
	522	2	//
	566	2	//
	584	2	//

	3	3	//
	26	3	//
	27	3	//
	28	3	//
	29	3	//
	30	3	//
	31	3	//
	32	3	//
	33	3	//
	237	3	//
	238	3	//
	240	3	//
	242	3	//
	243	3	//
	257	3	//
	544	3	//
	580	3	//
	584	3	//

	34	4	//
	35	4	//
	36	4	//
	37	4	//
	38	4	//
	39	4	//
	40	4	//
	41	4	//
	103	4	//

	200	6	//
	239	6	//

	45	7	//
	46	7	//
	47	7	//
	48	7	//
	49	7	//
	51	7	//
	52	7	//

	57	8	//
	58	8	//
	59	8	//
	60	8	//
	61	8	//
	62	8	//
	63	8	//

	10	9	//
	15	9	//
	17	9	//
	37	9	//
	39	9	//
	41	9	//
	64	9	//
	65	9	//

	69	10	//
	70	10	//
	71	10	//
	72	10	//
	73	10	//
	74	10	//
	75	10	//
	77	10	//

	84	11	//
	85	11	//
	86	11	//
	87	11	//
	88	11	//
	89	11	//
	131	11	//
	132	11	//
	232	11	//

	90	12	//
	91	12	//
	92	12	//
	93	12	//
	94	12	//
	95	12	//
	131	12	//
	132	12	//
	232	12	//

	96	13	//
	97	13	//
	98	13	//
	99	13	//
	111	13	//
	112	13	//
	131	13	//
	132	13	//
	232	13	//

	113	14	//
	114	14	//
	115	14	//
	116	14	//
	117	14	//
	118	14	//
	131	14	//
	132	14	//
	232	14	//

	119	15	//
	120	15	//
	121	15	//
	122	15	//
	123	15	//
	124	15	//
	131	15	//
	132	15	//
	232	15	//

	125	16	//
	126	16	//
	127	16	//
	128	16	//
	129	16	//
	130	16	//
	131	16	//
	132	16	//
	232	16	//

	131	17	//
	132	17	//
	138	17	//
	139	17	//
	140	17	//
	141	17	//
	142	17	//
	143	17	//
	232	17	//

	162	18	//
	163	18	//

	164	19	//
	165	19	//

	166	20	//
	167	20	//

	168	21	//
	169	21	//

	170	22	//
	171	22	//

	172	23	//
	173	23	//

	144	24	//
	145	24	//
	146	24	//
	147	24	//
	148	24	//
	149	24	//
	160	24	//
	161	24	//
	259	24	//

	174	25	//
	175	25	//
	176	25	//
	177	25	//
	178	25	//
	179	25	//
	180	25	//
	181	25	//
	259	25	//

	182	26	//
	183	26	//
	184	26	//
	185	26	//
	186	26	//
	187	26	//
	188	26	//
	189	26	//
	259	26	//

	190	27	//
	191	27	//
	192	27	//
	193	27	//
	194	27	//
	195	27	//
	196	27	//
	197	27	//
	259	27	//

	259	28	//
	260	28	//
	261	28	//
	262	28	//
	263	28	//
	264	28	//
	265	28	//
	266	28	//
	267	28	//

	259	29	//
	268	29	//
	269	29	//
	270	29	//
	271	29	//
	272	29	//
	273	29	//
	274	29	//
	338	29	//
	567	29	//

	216	30	//
	217	30	//
	218	30	//
	220	30	//
	223	30	//
	224	30	//
	376	30	//
	377	30	//

	290	31	//
	291	31	//
	292	31	//
	293	31	//
	294	31	//
	295	31	//

	57	32	//
	60	32	//
	290	32	//
	294	32	//
	434	32	//
	435	32	//

	304	33	//
	305	33	//
	306	33	//
	307	33	//
	308	33	//
	309	33	//
	369	33	//
	370	33	//
	549	33	//
	550	33	//
	551	33	//
	552	33	//

	204	34	//
	205	34	//
	206	34	//
	207	34	//
	208	34	//
	209	34	//
	224	34	//
	226	34	//
	240	34	//
	248	34	//
	251	34	//
	256	34	//
	310	34	//
	311	34	//
	312	34	//
	313	34	//
	314	34	//
	315	34	//
	316	34	//
	317	34	//
