////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																											
//	[ Text  Version ]	1.0.0.3																									
//	[ 최종 작업자 ]	설희원																									
//	[ 최종 작업일 ]	2011-10-20 21:53 PM																									
//	[ 작 업 내 용 ]	스크립트 확률 수정																									
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////																											
																											
// 펜타그램 소켓에서 보석 분리 확률																											
// 펜타그램 아이템에서 보석을 분리할 경우 일정 확률로 보석이 소멸될 확률																											
// 보석의 랭크 레벨에 따라 보석이 소멸될 확률이 다르다.																											
//Index	Rank	Level	Acpuisition_Rate																								
0																											
0	1	0	10000																								
1	1	1	10000																								
2	1	2	10000																								
3	1	3	9500																								
4	1	4	9500																								
5	1	5	9500																								
6	1	6	9000																								
7	1	7	9000																								
8	1	8	9000																								
9	1	9	8500																								
10	1	10	8500																								
11	2	0	9000																								
12	2	1	9000																								
13	2	2	9000																								
14	2	3	9000																								
15	2	4	8500																								
16	2	5	8500																								
17	2	6	8500																								
18	2	7	8000																								
19	2	8	8000																								
20	2	9	7500																								
21	2	10	7500																								
22	3	0	8000																								
23	3	1	8000																								
24	3	2	8000																								
25	3	3	8000																								
26	3	4	7500																								
27	3	5	7500																								
28	3	6	7500																								
29	3	7	7000																								
30	3	8	7000																								
31	3	9	7000																								
32	3	10	7000																								
33	4	0	8000																								
34	4	1	8000																								
35	4	2	8000																								
36	4	3	8000																								
37	4	4	7500																								
38	4	5	7500																								
39	4	6	7500																								
40	4	7	7000																								
41	4	8	7000																								
42	4	9	7000																								
43	4	10	7000																								
44	5	0	8000																								
45	5	1	8000																								
46	5	2	8000																								
47	5	3	8000																								
48	5	4	7500																								
49	5	5	7500																								
50	5	6	7500																								
51	5	7	7000																								
52	5	8	7000																								
53	5	9	7000																								
54	5	10	7000																								
end																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
 																											
																											
																											
																											
 																											
