//////////////////////////////////////////////////////////////////////////////////////													
// [칼리마6]	EachMonsterBag29												
// [ Start  ] 	2015-03-20												
// [ Latest ]	2015-03-20 17:26												
// [ Author ]	박혜진												
// [ Version ]	0.0.0.1												
// [ Text ]													
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트												
//////////////////////////////////////////////////////////////////////////////////////													
													
//사냥 마리 수	32400												
													
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)	아이템 명
//이시스6 95													150
271	-1	4	16	0	0	0	2	2	0	0	0	1506	//세인트크로스석궁
271	-1	4	17	0	0	0	2	2	0	0	0	1506	//홀리사이트보우
271	-1	0	16	0	0	0	2	2	0	0	0	1506	//파괴의검
271	-1	0	33	0	0	0	2	2	0	0	0	1506	//홀리스톰클로
271	-1	3	15	0	0	0	2	2	0	0	0	1506	//플루마랜스
271	-1	3	16	0	0	0	2	2	0	0	0	1506	//비스랜스
271	-1	3	10	0	0	0	2	2	0	0	0	1506	//드라곤스피어
271	-1	5	8	0	0	0	2	2	0	0	0	1506	//파멸의지팡이
271	-1	5	17	0	0	0	2	2	0	0	0	1506	//에이션트스틱
271	-1	2	10	0	0	0	2	2	0	0	0	1506	//그레이트셉터
271	-1	2	7	0	0	0	2	2	0	0	0	1506	//엘리멘탈메이스
271	-1	8	26	0	0	0	0	2	0	0	0	1506	//다크소울갑옷
271	-1	8	93	0	0	0	0	2	0	0	0	1506	//프린시갑옷
271	-1	8	60	0	0	0	0	2	0	0	0	1506	//스톰자하드갑옷
271	-1	9	60	0	0	0	0	2	0	0	0	1506	//스톰자하드바지
271	-1	8	15	0	0	0	0	2	0	0	0	1506	//아틀란스갑옷
271	-1	7	18	0	0	0	0	2	0	0	0	1506	//그랜드소울헬멧
271	-1	8	18	0	0	0	0	2	0	0	0	1506	//그랜드소울갑옷
271	-1	9	18	0	0	0	0	2	0	0	0	1506	//그랜드소울바지
271	-1	7	42	0	0	0	0	2	0	0	0	1506	//데모닉헬멧
271	-1	8	42	0	0	0	0	2	0	0	0	1506	//데모닉갑옷
271	-1	9	42	0	0	0	0	2	0	0	0	1506	//데모닉바지
271	-1	7	19	0	0	0	0	2	0	0	0	1506	//홀리스프릿헬멧
271	-1	8	19	0	0	0	0	2	0	0	0	1506	//홀리스프릿갑옷
271	-1	9	19	0	0	0	0	2	0	0	0	1506	//홀리스프릿바지
271	-1	11	19	0	0	0	0	2	0	0	0	1506	//홀리스프릿부츠
271	-1	7	27	0	0	0	0	2	0	0	0	1506	//다크브리즌마스크
271	-1	9	27	0	0	0	0	2	0	0	0	1506	//다크브리즌바지
271	-1	11	27	0	0	0	0	2	0	0	0	1506	//다크브리즌부츠
271	-1	7	16	0	0	0	0	2	0	0	0	1506	//블랙드라곤투구
271	-1	11	16	0	0	0	0	2	0	0	0	1506	//블랙드라곤부츠
