//////////////////////////////////////////////////////////////////////////////////////												
// [아틀란스]	EachMonsterBag7											
// [ Start  ] 	2015-03-20											
// [ Latest ]	2015-03-20 17:26											
// [ Author ]	박혜진											
// [ Version ]	0.0.0.1											
// [ Text ]												
// [ Desc ]	맵에 출현하는 몬스터 별로 드롭하는 아이템 리스트를 작성하는 스크립트											
//////////////////////////////////////////////////////////////////////////////////////												
												
//사냥 마리 수	4350											
												
//몬스터 인덱스	몬스터 속성	아이템 타입	아이템 인덱스	최소레벨	최대레벨	개수	스킬	행운	추가옵션	엑설런트 	속성 아이템	확률 (1/1000000)
//바하무트												
45	-1	1	4	0	0	0	2	2	0	0	0	4365
45	-1	1	5	0	0	0	2	2	0	0	0	4365
45	-1	1	6	0	0	0	2	2	0	0	0	4365
45	-1	2	3	0	0	0	2	2	0	0	0	4365
45	-1	4	3	0	0	0	2	2	0	0	0	4365
45	-1	4	11	0	0	0	2	2	0	0	0	4365
45	-1	4	4	0	0	0	2	2	0	0	0	4365
45	-1	0	8	0	0	0	2	2	0	0	0	4365
45	-1	0	9	0	0	0	2	2	0	0	0	4365
45	-1	0	5	0	0	0	2	2	0	0	0	4365
45	-1	0	10	0	0	0	2	2	0	0	0	4365
45	-1	3	3	0	0	0	2	2	0	0	0	4365
45	-1	3	7	0	0	0	2	2	0	0	0	4365
45	-1	3	0	0	0	0	2	2	0	0	0	4365
45	-1	5	2	0	0	0	2	2	0	0	0	4365
45	-1	5	3	0	0	0	2	2	0	0	0	4365
45	-1	5	14	0	0	0	2	2	0	0	0	4365
45	-1	5	15	0	0	0	2	2	0	0	0	4365
45	-1	6	9	0	0	0	2	2	0	0	0	4365
45	-1	6	7	0	0	0	2	2	0	0	0	4365
45	-1	6	5	0	0	0	2	2	0	0	0	4365
45	-1	6	8	0	0	0	2	2	0	0	0	4365
45	-1	6	31	0	0	0	2	2	0	0	0	4365
45	-1	8	91	0	0	0	0	2	0	0	0	4365
45	-1	7	6	0	0	0	0	2	0	0	0	4365
45	-1	8	6	0	0	0	0	2	0	0	0	4365
45	-1	9	6	0	0	0	0	2	0	0	0	4365
45	-1	7	39	0	0	0	0	2	0	0	0	4365
45	-1	8	39	0	0	0	0	2	0	0	0	4365
45	-1	9	39	0	0	0	0	2	0	0	0	4365
45	-1	11	39	0	0	0	0	2	0	0	0	4365
45	-1	7	12	0	0	0	0	2	0	0	0	4365
45	-1	8	12	0	0	0	0	2	0	0	0	4365
45	-1	10	12	0	0	0	0	2	0	0	0	4365
45	-1	9	12	0	0	0	0	2	0	0	0	4365
45	-1	11	12	0	0	0	0	2	0	0	0	4365
45	-1	7	7	0	0	0	0	2	0	0	0	4365
45	-1	8	7	0	0	0	0	2	0	0	0	4365
45	-1	10	7	0	0	0	0	2	0	0	0	4365
45	-1	9	7	0	0	0	0	2	0	0	0	4365
45	-1	11	7	0	0	0	0	2	0	0	0	4365
45	-1	7	8	0	0	0	0	2	0	0	0	4365
45	-1	8	8	0	0	0	0	2	0	0	0	4365
45	-1	10	8	0	0	0	0	2	0	0	0	4365
45	-1	9	8	0	0	0	0	2	0	0	0	4365
45	-1	11	8	0	0	0	0	2	0	0	0	4365
45	-1	7	13	0	0	0	0	2	0	0	0	4365
45	-1	10	13	0	0	0	0	2	0	0	0	4365
45	-1	9	13	0	0	0	0	2	0	0	0	4365
45	-1	11	13	0	0	0	0	2	0	0	0	4365
45	-1	10	92	0	0	0	0	2	0	0	0	4365
45	-1	10	9	0	0	0	0	2	0	0	0	4365
45	-1	11	9	0	0	0	0	2	0	0	0	4365
45	-1	10	25	0	0	0	0	2	0	0	0	4365
